Archivo,Target,Método,FechaIni,FechaFin,RMSE,Baseline,Estado
df_semanal_1.csv,target_AGG,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_BND,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_DBC,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_DIA,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_DVY,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_EEM,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_EFA,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_EWG,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_EWJ,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_EWQ,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_EWT,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_EWU,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_EWZ,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_FXI,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_HYG,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_IEF,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_IEFA,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_IEMG,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_IJR,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_INDA,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_ITOT,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_IVV,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_IWD,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_IWF,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_IWM,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_JNK,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_LQD,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_MCHI,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_MDY,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_MTUM,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_QQQ,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_QUAL,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_SCHD,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_SLV,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_SPY,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_TIP,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_TLT,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_USMV,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_USO,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VEA,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VIG,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VLUE,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VNQ,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VOO,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VTI,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VTV,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VUG,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_VWO,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLB,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLE,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLF,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLI,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLK,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLP,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLRE,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLU,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLV,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_XLY,LinearRegression,,,,,PENDIENTE
df_semanal_1.csv,target_AGG,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_BND,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_DBC,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_DIA,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_DVY,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_EEM,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_EFA,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_EWG,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_EWJ,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_EWQ,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_EWT,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_EWU,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_EWZ,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_FXI,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_HYG,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_IEF,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_IEFA,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_IEMG,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_IJR,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_INDA,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_ITOT,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_IVV,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_IWD,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_IWF,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_IWM,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_JNK,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_LQD,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_MCHI,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_MDY,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_MTUM,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_QQQ,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_QUAL,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_SCHD,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_SLV,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_SPY,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_TIP,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_TLT,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_USMV,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_USO,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VEA,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VIG,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VLUE,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VNQ,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VOO,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VTI,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VTV,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VUG,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_VWO,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLB,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLE,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLF,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLI,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLK,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLP,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLRE,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLU,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLV,RandomForestRegressor,,,,,PENDIENTE
df_semanal_1.csv,target_XLY,RandomForestRegressor,,,,,PENDIENTE
